Year,Quarter,client_lobby_actor_id,client_name,LDA_frequency
2012,4,7926,National Retail Federation,5
2013,3,7926,National Retail Federation,5
2014,2,7926,National Retail Federation,6
2015,1,7926,National Retail Federation,4
2015,4,7926,National Retail Federation,6
2016,3,7926,National Retail Federation,5
2017,2,7926,National Retail Federation,6
2018,1,7926,National Retail Federation,5
2018,4,7926,National Retail Federation,6
2019,3,7926,National Retail Federation,5
2020,2,7926,National Retail Federation,7
2021,1,7926,National Retail Federation,5
2024,4,8900,Elevance Health Inc.,5
2012,4,10927,Cigna Group,3
2013,3,10927,Cigna Group,3
2014,2,10927,Cigna Group,3
2015,1,10927,Cigna Group,3
2015,4,10927,Cigna Group,6
2016,3,10927,Cigna Group,6
2017,2,10927,Cigna Group,7
2018,1,10927,Cigna Group,7
2018,4,10927,Cigna Group,7
2019,3,10927,Cigna Group,10
2020,2,10927,Cigna Group,9
2021,1,10927,Cigna Group,7
2021,4,10927,Cigna Group,7
2022,3,10927,Cigna Group,7
2023,2,10927,Cigna Group,8
2024,1,10927,Cigna Group,8
2017,4,11862,Ford Motor Co.,8
2018,3,11862,Ford Motor Co.,8
2019,2,11862,Ford Motor Co.,9
2020,1,11862,Ford Motor Co.,9
2020,4,11862,Ford Motor Co.,8
2021,3,11862,Ford Motor Co.,10
2022,2,11862,Ford Motor Co.,9
2023,1,11862,Ford Motor Co.,9
2023,4,11862,Ford Motor Co.,8
2024,3,11862,Ford Motor Co.,7
2010,1,20225,GSK plc,8
2015,4,29779,American Medical Association,4
2016,3,29779,American Medical Association,5
2017,2,29779,American Medical Association,5
2018,1,29779,American Medical Association,5
2018,4,29779,American Medical Association,5
2019,3,29779,American Medical Association,5
2020,2,29779,American Medical Association,5
2021,1,29779,American Medical Association,4
2021,4,29779,American Medical Association,4
2022,3,29779,American Medical Association,4
2023,2,29779,American Medical Association,5
2024,1,29779,American Medical Association,5
2016,4,36150,Prudential Financial Inc.,14
2017,3,36150,Prudential Financial Inc.,14
2018,2,36150,Prudential Financial Inc.,12
2019,1,36150,Prudential Financial Inc.,13
2019,4,36150,Prudential Financial Inc.,12
2020,3,36150,Prudential Financial Inc.,14
2021,2,36150,Prudential Financial Inc.,12
2022,1,36150,Prudential Financial Inc.,11
2022,4,36150,Prudential Financial Inc.,10
2023,3,36150,Prudential Financial Inc.,11
2024,2,36150,Prudential Financial Inc.,10
2014,4,46079,Gilead Sciences Inc.,8
2015,3,46079,Gilead Sciences Inc.,7
2016,2,46079,Gilead Sciences Inc.,7
2017,1,46079,Gilead Sciences Inc.,9
2017,4,46079,Gilead Sciences Inc.,10
2018,3,46079,Gilead Sciences Inc.,8
2019,2,46079,Gilead Sciences Inc.,12
2020,1,46079,Gilead Sciences Inc.,13
2020,4,46079,Gilead Sciences Inc.,12
2021,3,46079,Gilead Sciences Inc.,12
2022,2,46079,Gilead Sciences Inc.,12
2023,1,46079,Gilead Sciences Inc.,13
2016,4,48709,Open Society Policy Center Inc.,1
2017,3,48709,Open Society Policy Center Inc.,1
2018,2,48709,Open Society Policy Center Inc.,2
2019,1,48709,Open Society Policy Center Inc.,2
2019,4,48709,Open Society Policy Center Inc.,3
2020,3,48709,Open Society Policy Center Inc.,2
2010,2,7926,National Retail Federation,4
2011,1,7926,National Retail Federation,4
2011,4,7926,National Retail Federation,5
2012,3,7926,National Retail Federation,5
2013,2,7926,National Retail Federation,5
2014,1,7926,National Retail Federation,4
2014,4,7926,National Retail Federation,4
2015,3,7926,National Retail Federation,5
2016,2,7926,National Retail Federation,5
2017,1,7926,National Retail Federation,6
2010,1,8900,Elevance Health Inc.,5
2010,4,8900,Elevance Health Inc.,5
2011,3,8900,Elevance Health Inc.,4
2012,2,8900,Elevance Health Inc.,4
2013,1,8900,Elevance Health Inc.,5
2013,4,8900,Elevance Health Inc.,4
2014,3,8900,Elevance Health Inc.,4
2015,2,8900,Elevance Health Inc.,4
2016,1,8900,Elevance Health Inc.,5
2010,3,10927,Cigna Group,5
2011,2,10927,Cigna Group,4
2012,1,10927,Cigna Group,3
2013,4,11862,Ford Motor Co.,7
2014,3,11862,Ford Motor Co.,7
2015,2,11862,Ford Motor Co.,9
2016,1,11862,Ford Motor Co.,7
2016,4,11862,Ford Motor Co.,7
2017,3,11862,Ford Motor Co.,8
2018,2,11862,Ford Motor Co.,8
2019,1,11862,Ford Motor Co.,8
2019,4,11862,Ford Motor Co.,9
2020,3,11862,Ford Motor Co.,9
2021,2,11862,Ford Motor Co.,10
2022,1,11862,Ford Motor Co.,10
2022,4,11862,Ford Motor Co.,9
2023,3,11862,Ford Motor Co.,8
2024,2,11862,Ford Motor Co.,7
2010,3,18384,Airlines for America Inc.,7
2011,2,18384,Airlines for America Inc.,5
2012,1,18384,Airlines for America Inc.,6
